OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10275,DRACD,8,7/26/1996,8/5/1996,7/28/1996,2,19.3,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10276,WARTH,2,7/27/1996,8/8/1996,8/10/1996,3,160.21,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10277,TRAIH,6,7/28/1996,8/12/1996,8/1/1996,1,168.08,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10278,LAUGB,9,7/29/1996,8/19/1996,8/8/1996,1,183.14,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10279,CACTU,9,7/30/1996,8/11/1996,8/1/1996,2,119.79,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10280,RATTC,4,8/3/1996,8/13/1996,8/5/1996,3,120.8,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10281,HILAA,7,8/3/1996,8/22/1996,8/9/1996,2,105.25,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10282,ISLAT,9,8/4/1996,8/25/1996,8/12/1996,2,128.74,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10283,GALED,9,8/4/1996,8/13/1996,8/12/1996,2,28.14,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10284,FRANK,2,8/5/1996,8/23/1996,8/15/1996,2,4.77,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10285,WOLZA,6,8/6/1996,8/13/1996,8/14/1996,2,40.62,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10286,WANDK,2,8/7/1996,8/27/1996,8/21/1996,1,10.65,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10287,LEHMS,4,8/9/1996,8/27/1996,8/19/1996,1,145.58,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10288,FRANR,1,8/10/1996,8/20/1996,8/15/1996,2,177.27,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10289,FOLKO,8,8/10/1996,8/23/1996,8/24/1996,2,187.39,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10290,LAZYK,2,8/11/1996,8/22/1996,8/12/1996,3,57.63,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10291,THECR,4,8/11/1996,8/18/1996,8/13/1996,3,44.54,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10292,LETSS,7,8/12/1996,8/28/1996,8/14/1996,2,145.98,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10293,WANDK,4,8/13/1996,8/23/1996,8/19/1996,3,21.46,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10294,PARIS,8,8/13/1996,8/31/1996,8/17/1996,3,105.29,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10295,QUEDE,3,8/14/1996,9/2/1996,8/27/1996,2,104.27,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10296,LINOD,9,8/16/1996,8/26/1996,8/27/1996,2,78.23,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10297,WOLZA,8,8/17/1996,9/4/1996,8/23/1996,2,182.77,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10298,NORTS,9,8/17/1996,9/7/1996,8/21/1996,2,140.47,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10299,GREAL,1,8/18/1996,9/7/1996,9/1/1996,2,10.15,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10300,FRANK,9,8/19/1996,8/26/1996,8/26/1996,2,73.14,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10301,RICAR,8,8/19/1996,8/30/1996,8/24/1996,2,119.68,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10302,VINET,3,8/19/1996,9/8/1996,8/20/1996,2,129.79,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10303,CHOPS,6,8/20/1996,9/6/1996,8/21/1996,3,141.04,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10304,ANTON,8,8/22/1996,8/30/1996,8/23/1996,1,25.72,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10305,PARIS,7,8/22/1996,8/30/1996,9/3/1996,3,76.67,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10306,PARIS,5,8/23/1996,8/31/1996,9/3/1996,2,132.73,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10307,DRACD,4,8/24/1996,9/5/1996,9/6/1996,1,157.61,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10308,VAFFE,9,8/24/1996,9/3/1996,9/2/1996,1,76.35,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10309,BLAUS,9,8/26/1996,9/5/1996,8/29/1996,1,190.86,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10310,FURIB,5,8/29/1996,9/8/1996,8/30/1996,2,153.7,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10311,HUNGO,3,8/30/1996,9/10/1996,9/3/1996,1,136.99,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10312,RICAR,3,8/30/1996,9/10/1996,9/2/1996,3,191.69,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10313,TRAIH,3,8/31/1996,9/20/1996,9/13/1996,1,99.38,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10314,OCEAN,2,9/2/1996,9/11/1996,9/16/1996,2,182.33,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10315,QUEEN,7,9/3/1996,9/17/1996,9/6/1996,2,93.42,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10316,QUEDE,5,9/3/1996,9/23/1996,9/7/1996,1,167.96,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10317,BSBEV,2,9/5/1996,9/24/1996,9/8/1996,3,133.96,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10318,FRANS,5,9/5/1996,9/24/1996,9/17/1996,1,150.97,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10319,HUNGC,6,9/7/1996,9/18/1996,9/13/1996,3,52.97,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10320,RICSU,8,9/9/1996,9/22/1996,9/14/1996,2,82.75,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10321,MORGK,9,9/9/1996,9/27/1996,9/14/1996,3,27.99,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10322,MEREP,9,9/10/1996,9/23/1996,9/12/1996,2,110.86,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10323,HUNGC,5,9/11/1996,9/25/1996,9/19/1996,2,118.69,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10324,FAMIA,5,9/12/1996,9/24/1996,9/16/1996,3,88.2,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10325,ANATR,6,9/12/1996,9/29/1996,9/21/1996,2,170.07,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10326,FRANS,9,9/12/1996,10/1/1996,9/26/1996,1,117.69,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10327,WARTH,7,9/12/1996,10/2/1996,9/26/1996,3,100.36,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10328,TOMSP,1,9/12/1996,9/28/1996,9/21/1996,2,130.35,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10329,CHOPS,2,9/14/1996,9/27/1996,9/18/1996,2,21.54,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10330,WILMK,4,9/16/1996,9/29/1996,9/24/1996,2,77.41,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10331,GROSR,2,9/16/1996,10/3/1996,9/21/1996,3,20.54,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10332,SAVEA,8,9/17/1996,10/2/1996,9/24/1996,3,56.66,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10333,OTTIK,1,9/18/1996,10/4/1996,9/28/1996,1,132.83,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10334,CONSH,9,9/18/1996,9/27/1996,9/21/1996,2,76.06,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10335,QUEDE,3,9/19/1996,10/10/1996,9/28/1996,1,63.46,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10336,FISSA,6,9/21/1996,10/3/1996,9/25/1996,1,127.6,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10337,VICTE,8,9/22/1996,10/13/1996,9/28/1996,2,52.03,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10338,CACTU,8,9/22/1996,10/6/1996,9/30/1996,2,171.46,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10339,MAGAA,2,9/23/1996,10/3/1996,10/7/1996,3,56.32,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10340,LAUGB,7,9/24/1996,10/1/1996,10/4/1996,1,121.14,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10341,MAGAA,9,9/24/1996,10/6/1996,10/8/1996,3,190.87,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10342,LAMAI,9,9/25/1996,10/12/1996,10/2/1996,1,187.01,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10343,SAVEA,3,9/25/1996,10/5/1996,9/28/1996,1,15.94,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10344,BLONP,3,9/26/1996,10/13/1996,10/2/1996,2,79.87,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10345,PERIC,5,9/27/1996,10/6/1996,10/10/1996,1,181.16,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10346,NORTS,9,9/27/1996,10/13/1996,10/2/1996,1,52.3,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10347,WHITC,5,9/28/1996,10/13/1996,10/2/1996,3,6.34,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10348,RICSU,2,9/29/1996,10/11/1996,10/8/1996,3,109.27,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10349,LETSS,3,9/29/1996,10/19/1996,10/1/1996,2,63.07,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10350,LONEP,4,10/2/1996,10/13/1996,10/4/1996,1,16.93,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10351,ANATR,9,10/4/1996,10/16/1996,10/11/1996,3,132.87,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10352,WARTH,1,10/5/1996,10/22/1996,10/9/1996,3,164.46,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10353,BLAUS,5,10/6/1996,10/19/1996,10/17/1996,1,1.71,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10354,BOLID,7,10/9/1996,10/28/1996,10/12/1996,3,198.5,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10355,DUMON,9,10/11/1996,11/1/1996,10/15/1996,2,78.34,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10356,ANATR,9,10/12/1996,10/29/1996,10/13/1996,1,193.83,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10357,RATTC,4,10/14/1996,10/29/1996,10/16/1996,2,53.77,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10358,AROUT,5,10/14/1996,10/23/1996,10/22/1996,1,10.15,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10359,HUNGO,2,10/14/1996,10/30/1996,10/16/1996,2,173.63,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10360,FRANK,2,10/14/1996,10/30/1996,10/19/1996,2,64.24,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10361,PICCO,4,10/15/1996,11/1/1996,10/20/1996,2,197.74,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10362,CACTU,9,10/16/1996,11/3/1996,10/27/1996,1,118.51,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10363,ERNSH,4,10/18/1996,11/2/1996,10/28/1996,1,131.69,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10364,WOLZA,8,10/20/1996,11/1/1996,10/27/1996,1,31.45,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10365,MEREP,1,10/21/1996,11/1/1996,10/24/1996,3,67.11,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10366,ISLAT,9,10/21/1996,10/29/1996,10/30/1996,1,68.65,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10367,LONEP,9,10/22/1996,11/11/1996,10/28/1996,2,23.86,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10368,BOTTM,6,10/25/1996,11/9/1996,11/8/1996,3,75.34,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10369,PICCO,3,10/26/1996,11/8/1996,10/31/1996,3,1.65,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10370,VAFFE,8,10/27/1996,11/5/1996,11/2/1996,1,52.2,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10371,LINOD,9,10/28/1996,11/16/1996,11/2/1996,1,108.87,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10372,HUNGO,9,10/28/1996,11/8/1996,11/4/1996,3,5.92,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10373,QUEEN,8,10/28/1996,11/14/1996,11/5/1996,1,42.93,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10374,HILAA,9,10/29/1996,11/19/1996,11/9/1996,2,153.95,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10375,GALED,3,10/29/1996,11/6/1996,11/6/1996,3,172.17,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10376,FISSA,6,10/29/1996,11/5/1996,11/5/1996,3,160.46,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10377,KOENE,1,10/31/1996,11/7/1996,11/3/1996,1,199.19,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10378,RANCH,2,11/1/1996,11/9/1996,11/6/1996,1,40.53,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10379,RICSU,7,11/2/1996,11/17/1996,11/5/1996,1,26.34,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10380,LEHMS,2,11/4/1996,11/14/1996,11/8/1996,3,5.19,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10381,WANDK,8,11/5/1996,11/14/1996,11/13/1996,3,106.7,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10382,DRACD,4,11/5/1996,11/12/1996,11/6/1996,2,40.43,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10383,FISSA,1,11/6/1996,11/20/1996,11/7/1996,2,184.9,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10384,ISLAT,9,11/8/1996,11/16/1996,11/15/1996,3,166.05,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10385,SAVEA,8,11/9/1996,11/26/1996,11/12/1996,3,33.86,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10386,CHOPS,8,11/10/1996,11/30/1996,11/21/1996,3,174.67,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10387,GREAL,3,11/10/1996,11/30/1996,11/22/1996,2,30.1,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10388,FOLKO,9,11/12/1996,11/23/1996,11/24/1996,2,189.44,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10389,RATTC,6,11/12/1996,11/25/1996,11/14/1996,2,176.4,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10390,RATTC,4,11/13/1996,11/28/1996,11/20/1996,3,112.19,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10391,MORGK,7,11/13/1996,11/26/1996,11/23/1996,2,86.38,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10392,SUPRD,9,11/13/1996,11/26/1996,11/15/1996,1,61.92,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10393,COMMI,3,11/14/1996,11/25/1996,11/23/1996,1,132.55,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10394,LAUGB,5,11/15/1996,12/6/1996,11/17/1996,1,149.75,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10395,SUPRD,4,11/15/1996,11/27/1996,11/16/1996,1,65.43,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10396,LACOR,4,11/18/1996,11/26/1996,11/24/1996,2,24.27,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10397,LAUGB,8,11/18/1996,12/6/1996,11/23/1996,2,54.61,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10398,BLONP,9,11/18/1996,11/25/1996,11/26/1996,2,111.09,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10399,ERNSH,2,11/20/1996,12/9/1996,12/3/1996,2,22.03,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10400,SIMOB,7,11/21/1996,12/3/1996,11/25/1996,2,178.68,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10401,BLONP,2,11/22/1996,12/6/1996,12/1/1996,1,172.36,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10402,PERIC,8,11/23/1996,12/11/1996,12/6/1996,1,123.45,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10403,AROUT,8,11/23/1996,12/12/1996,11/27/1996,3,72.82,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10404,RANCH,5,11/23/1996,12/4/1996,11/28/1996,1,30.04,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10405,CHOPS,7,11/24/1996,12/12/1996,12/8/1996,1,51.6,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10406,DRACD,7,11/25/1996,12/6/1996,12/1/1996,1,119.41,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10407,THEBI,7,11/25/1996,12/8/1996,12/4/1996,2,28.44,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10408,CACTU,1,11/26/1996,12/13/1996,12/8/1996,1,149.48,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10409,BSBEV,3,11/27/1996,12/17/1996,12/3/1996,3,98.03,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10410,TORTU,3,11/27/1996,12/13/1996,12/10/1996,2,132.27,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10411,QUEDE,3,11/30/1996,12/18/1996,12/13/1996,1,161.33,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10412,GROSR,3,12/2/1996,12/10/1996,12/6/1996,3,40.26,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10413,LILAS,4,12/2/1996,12/20/1996,12/4/1996,1,79.85,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10414,ROMEY,3,12/3/1996,12/16/1996,12/8/1996,1,95.23,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10415,FOLIG,2,12/7/1996,12/26/1996,12/20/1996,3,190.31,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10416,REGGC,5,12/8/1996,12/29/1996,12/16/1996,2,141.38,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10417,PARIS,3,12/8/1996,12/17/1996,12/11/1996,2,9.69,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10418,OLDWO,1,12/8/1996,12/20/1996,12/9/1996,3,18.44,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10419,RATTC,2,12/9/1996,12/20/1996,12/11/1996,3,154.4,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10420,FOLKO,2,12/12/1996,12/27/1996,12/13/1996,1,14.64,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10421,MAISD,5,12/13/1996,12/25/1996,12/19/1996,2,82.35,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10422,FRANS,8,12/15/1996,12/30/1996,12/16/1996,2,137.95,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10423,ALFKI,9,12/16/1996,1/4/1997,12/25/1996,2,120.19,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10424,GROSR,3,12/16/1996,12/26/1996,12/30/1996,2,11.38,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10425,MORGK,9,12/16/1996,12/26/1996,12/18/1996,3,157.43,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10426,HANAR,7,12/19/1996,12/26/1996,12/26/1996,2,185.38,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10427,ISLAT,8,12/19/1996,1/9/1997,12/24/1996,2,149.57,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10428,LETSS,4,12/19/1996,12/31/1996,12/22/1996,3,189.55,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10429,FAMIA,7,12/19/1996,1/9/1997,12/29/1996,2,11.66,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10430,GODOS,1,12/19/1996,1/1/1997,1/1/1997,1,45.64,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10431,TORTU,3,12/20/1996,1/3/1997,1/3/1997,2,107.29,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10432,LAUGB,8,12/20/1996,1/8/1997,12/22/1996,2,48.94,Ship Co 2,123 Shipping Blvd,Port City,,12345,Shipper Land
10433,PERIC,3,12/20/1996,1/4/1997,1/2/1997,3,32.69,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10434,VAFFE,9,12/20/1996,12/28/1996,12/24/1996,1,56.88,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10435,FURIB,8,12/21/1996,1/4/1997,12/28/1996,1,173.07,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10436,FAMIA,2,12/22/1996,1/7/1997,1/1/1997,1,192.98,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10437,PICCO,6,12/22/1996,1/8/1997,1/3/1997,1,119.71,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
10438,FISSA,6,12/23/1996,1/11/1997,1/4/1997,3,28.85,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10439,ISLAT,5,12/23/1996,1/10/1997,12/29/1996,3,114.97,Ship Co 3,123 Shipping Blvd,Port City,,12345,Shipper Land
10440,QUICK,3,12/23/1996,1/11/1997,1/2/1997,1,157.26,Ship Co 1,123 Shipping Blvd,Port City,,12345,Shipper Land
